name,lon,lat,depth_m,eta_amp_m,eta_phase_rad,speed_amp_m_s,phase_winding_r2_rad,phase_winding_r4_rad,phase_winding_r6_rad,phase_winding_r8_rad,solution
model_min_eta_amp,242.90492248535156,31.414445877075195,1398.83154296875,1.1854711573748114e-05,0.9315958803557437,0.013239408271971734,1.7763568394002505e-15,8.881784197001252e-16,-2.6645352591003757e-15,6.283185307179584,model
tpxo_min_eta_amp,243.1748809814453,31.96869468688965,50.79999923706055,0.015623624545530906,-1.6078448249103299,0.004708560156073498,1.7763568394002505e-15,nan,nan,nan,model
canyon_marker,243.2501678466797,31.78505516052246,281.1000061035156,0.011731058622694399,-1.4428669359128645,0.005881151982745694,1.3322676295501878e-15,-4.440892098500626e-16,4.440892098500626e-16,-1.7763568394002505e-15,model
model_min_eta_amp,242.90492248535156,31.414445877075195,1398.83154296875,0.4828152149113291,-2.3646972880343955,0.02270180655119062,0.0,0.0,0.0,0.0,tpxo
tpxo_min_eta_amp,243.1748809814453,31.96869468688965,50.79999923706055,0.09255025621054273,-2.3861659701714095,0.0021355975609459146,0.0,nan,nan,nan,tpxo
canyon_marker,243.2501678466797,31.78505516052246,281.1000061035156,0.49305143583445016,-2.381169892312665,0.03551911710056608,0.0,0.0,0.0,0.0,tpxo
